id,name,size,price,rating,img,url,subB
300391710,Acuvue Vita 12 pack,1.0 Box ,$115.99,3.8,//pics.drugstore.com/prodimg/612695/155.jpg,https://www.walgreens.com/store/c/acuvue-vita-12pk-acuvue-vita-12-pack/ID=300391710-product,Acuvue Vita 12pk
prod6365507,Clariti 1 Day Multifocal 90 pack,1.0 Box ,$98.99,4.3,//pics.drugstore.com/prodimg/601020/155.jpg,https://www.walgreens.com/store/c/clariti-1-day-multifocal-90-pk-clariti-1-day-multifocal-90-pack/ID=prod6365507-product,Clariti 1 Day Multifocal 90 Pk
prod6257623,Dailies AquaComfort PLUS Multifocal 30 pack,1.0 Box ,$42.99,4.0,//pics.drugstore.com/prodimg/529386/155.jpg,https://www.walgreens.com/store/c/dailies-aquacomfort-plus-dailies-aquacomfort-plus-multifocal-30-pack/ID=prod6257623-product,Dailies AquaComfort PLUS
prod6288658,1-Day Acuvue  Define Vivid 30 pack,1.0 Box ,$47.49,0.0,//pics.drugstore.com/prodimg/548874/155.jpg,https://www.walgreens.com/store/c/1-day-acuvue-define-30pk-1-day-acuvue--define-vivid-30-pack/ID=prod6288658-product,1-Day Acuvue Define 30Pk
prod6258366,PureVision 2 for Presbyopia,1.0 Box ,$82.99,4.9,//pics.drugstore.com/prodimg/529418/155.jpg,https://www.walgreens.com/store/c/purevision2-for-presbyopia-purevision-2-for-presbyopia/ID=prod6258366-product,PureVision2 for Presbyopia
prod6404801,Biotrue ONEday for Astigmatism 90 pack,1.0 Box ,$85.99,4.8,//pics.drugstore.com/prodimg/612176/155.jpg,https://www.walgreens.com/store/c/biotrue-oneday-for-astigmatism-90-pack-biotrue-oneday-for-astigmatism-90-pack/ID=prod6404801-product,Biotrue ONEday for Astigmatism 90 pack
prod6095155,PureVision 2 for Astigmatism,1.0 Box ,$61.99,4.5,//pics.drugstore.com/prodimg/372622/155.jpg,https://www.walgreens.com/store/c/purevision2-for-astigmatism-purevision-2-for-astigmatism/ID=prod6095155-product,PureVision2 For Astigmatism
prod6392500,Air Optix plus HydraGlyde Multifocal,1.0 Box ,$92.99,4.3,//pics.drugstore.com/prodimg/609465/155.jpg,https://www.walgreens.com/store/c/air-optix-air-optix-plus-hydraglyde-multifocal/ID=prod6392500-product,Air Optix
prod2301340,PureVision For Astigmatism,1.0 Box ,$70.99,4.5,//pics.drugstore.com/prodimg/155285/155.jpg,https://www.walgreens.com/store/c/purevision-for-astigmatism-purevision-for-astigmatism/ID=prod2301340-product,PureVision for Astigmatism
prod2301341,PureVision,1.0 Box ,$72.99,4.8,//pics.drugstore.com/prodimg/90629/155.jpg,https://www.walgreens.com/store/c/purevision-purevision/ID=prod2301341-product,PureVision
